STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,LA1011,Pháp văn 1,2,,
,,French 1,,,
3,LA1003,Anh văn 1,2,,
,,English 1,,,
4,MT1011,Giải tích 1,4,,
,,Calculus 1,,,
5,MT1015,Đại số tuyến tính,3,,
,,Linear Algebra,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,ME1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Học kỳ 2 (Semester 2),,,
1,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
2,LA1013,Pháp văn 2,2,,
,,French 2,,,
3,PH1009,Vật lý 1,4,,
,,General Physics 1,,,
4,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
5,MT1013,Giải tích 2,4,,
,,Calculus 2,,,
6,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
7,,Giáo dục thể chất,0,,
,,Physical Education,,,
8,M11003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Học kỳ 3 (Semester 3),,,
1,PH2005,Vật lý 2,4,,
,,General Physics 2,,,
2,PH2007,Thí nghiệm vật lý,1,,
,,Labs of General Physics,,,
3,MT2007,Giải tích 3,3,,
,,Calculus 3,,,
4,LA1015,Pháp văn 3,2,,
,,French 3,,,
5,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
6,MT2009,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
,,Học kỳ 4 (Semester 4),,,
1,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
2,LA1017,Pháp văn 4,2,,
,,French 4,,,
3,EE2031,Điện - giải tích mạch,3,MT1013(KN),
,,Electrics - Circuit Analysis,,,
4,AS2049,Cơ học vật rắn & sóng cơ,3,"MT1011(KN) MT1015(KN) PH1009(KN)",
,,Solid Mechanics and Wave,,,
5,MT2011,Phương pháp tính,3,,
,,Numerical Analysis,,,
6,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,Học kỳ 4 (hè) (Semester 4 (Summer)),,,
1,ME2119,Thực tập công nhân,2,,
,,Workshop Practice,,,
,,Học kỳ 5 (Semester 5),,,
1,ME2089,Vẽ kỹ thuật cơ khí,4,,
,,Mechanical Engineering Drawing,,,
2,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
3,LA3021,Pháp văn 5,2,,
,,French 5,,,
4,ME2003,Nguyên lý máy,3,AS2049(SH),
,,Kinematics and Dynamics of Machines,,,
5,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,MT2011(KN),
,,Computer Systems and Programming Languages,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
,,Free Electives 3 credits,,,
,,Học kỳ 6 (Semester 6),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
2,LA3023,Pháp văn 6,2,,
,,French 6,,,
3,ME2005,Trang bị điện - điện tử trong máy công nghiệp,4,,
,,Electrical & Electronic Equipment for Industrial Machinery,,,
4,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
5,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
,,Học kỳ 6 (hè) (Semester 6 (Summer)),,,
1,ME3385,Thực tập ngoài trường,2,ME2119(TQ),
,,Internship,,,
,,Học kỳ 7 (Semester 7),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
2,ME2007,Chi tiết máy,3,,
,,Machine Elements,,,
3,ME2009,Kỹ thuật điều khiển tự động,3,ME2005(SH),
,,Control System Technology,,,
4,ME2117,Thí nghiệm cơ học máy,1,"ME2003(KN) ME2007(SH)",
,,Labs of machine machanics,,,
5,ME2071,Các quá trình chế tạo,3,,
,,Manufacturing Processes,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
,,Free Electives 3 credits,,,
,,Học kỳ 8 (Semester 8),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,ME4127,Thiết kế hệ thống cơ điện tử,3,,1
,,Mechatronics System Design,,,
3,ME4139,Vi điều khiển,3,"ME2005(KN) ME2009(KN)",1
,,Micro-Controller,,,
4,ME3145,Đồ án hệ thống truyền động,2,ME2007(KN),2
,,Transmission System Project,,,
5,ME3011,Động lực học và điều khiển,3,ME2009(KN),
,,Dynamic Systems and Control,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
,,Free Electives 3 credits,,,
,,Học kỳ 8 (hè) (Semester 8 (Summer)),,,
1,ME4385,Thực tập kỹ sư,2,ME3385(TQ),
,,Engineering Internship,,,
,,Học kỳ 9 (Semester 9),,,
1,ME5005,Hệ thống PLC,3,,1
,,Programmable Logic Controllers,,,
2,ME3003,Dung sai và kỹ thuật đo,3,,
,,Tolerance and Measurement,,,
3,ME5003,Kỹ thuật robot,3,,1
,,Robotics,,,
