STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
2,LA1011,Pháp văn 1,2,,
,,French 1,,,
3,LA1003,Anh văn 1,2,,
,,English 1,,,
4,MT1011,Giải tích 1,4,,
,,Calculus 1,,,
5,MT1015,Đại số tuyến tính,3,,
,,Linear Algebra,,,
6,CI1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Các học phần tự chọn (Elective Courses),,,
7,,Giáo dục thể chất học phần 1,0,,
,,Physical Education 1,,,
7.1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
7.2,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
7.3,PE1057,Bowling (Học phần 1),0,,
,,Bowling,,,
7.4,PE1061,Pickleball (Học phần 1),0,,
,,Pickleball,,,
7.5,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
7.6,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
7.7,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
7.8,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
7.9,PE1019,Bơi (Học phần 1),0,,
,,Swimming,,,
7.10,PE1021,Aerobic (Học phần 1),0,,
,,Aerobic,,,
7.11,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
7.12,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
,,Học kỳ 2 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
2,LA1013,Pháp văn 2,2,,
,,French 2,,,
3,PH1009,Vật lý 1,4,,
,,General Physics 1,,,
4,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
5,MT1013,Giải tích 2,4,,
,,Calculus 2,,,
6,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,
8,,Giáo dục thể chất học phần 2,0,,
,,Physical Education 2,,,
8.1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
8.2,PE1055,Cờ vua (Học phần 2),0,,
,,Chess,,,
8.3,PE1059,Bowling (Học phần 2),0,,
,,Bowling,,,
8.4,PE1063,Pickleball (Học phần 2),0,,
,,Pickleball,,,
8.5,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
8.6,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
8.7,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
8.8,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
8.9,PE1043,Bơi (Học phần 2),0,,
,,Swimming,,,
8.10,PE1045,Aerobic (Học phần 2),0,,
,,Aerobic,,,
8.11,PE1049,Điền kinh (Học phần 2),0,,
,,Athletics,,,
8.12,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
,,Học kỳ 3 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,PH2005,Vật lý 2,4,,
,,General Physics 2,,,
2,PH2007,Thí nghiệm vật lý,1,,
,,Labs of General Physics,,,
3,MT2007,Giải tích 3,3,,
,,Calculus 3,,,
4,LA1015,Pháp văn 3,2,,
,,French 3,,,
5,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
6,MT2009,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
,,Học kỳ 4 - 16 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
2,LA1017,Pháp văn 4,2,,
,,French 4,,,
3,EE2031,Điện - giải tích mạch,3,MT1013(HT),
,,Electrics - Circuit Analysis,,,
4,AS2049,Cơ học vật rắn và sóng cơ,3,MT1011(HT) MT1015(HT) PH1009(HT),
,,Solid Mechanics and Wave,,,
5,MT2011,Phương pháp tính,3,,
,,Numerical Analysis,,,
6,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,Học kỳ 4 (hè) - 2 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI2119,Thực tập công nhân,2,,
,,Workshop Practice,,,
,,Học kỳ 5 - 17 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(HT),
,,Marxist - Leninist Political Economy,,,
2,LA3021,Pháp văn 5,2,,
,,French 5,,,
3,CI2095,Địa chất công trình,3,,
,,Engineering Geology,,,
4,CI2127,Hóa học nước trong kỹ thuật môi trường,3,,
,,Water Chemistry in Environmental Engineering,,,
5,CI2131,Thí nghiệm môi trường nước đô thị,1,,
,,Urban Water Testing,,,
,,Các học phần tự chọn (Elective Courses),,,
6,,Tự chọn nhóm A,3,,
,,Elective Courses - Group A,,,
6.1,CI1033,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
6.2,CI2157,Nhập môn BIM trong xây dựng,3,,
,,Introduction to BIM in Civil Engineering,,,
6.3,CI2129,Các quá trình xử lý trong kỹ thuật môi trường,3,,
,,Physico-chemical Processes in Environmental Engineering,,,
7,,Tự chọn Quản lý,3,,
,,Elective Courses - Management for Engineers,,,
7.1,CI3289,Lãnh đạo và khởi nghiệp,3,,
,,Leadership and Starup,,,
7.2,CI3291,Lãnh đạo và quản lý dự án,3,,
,,Leadership and Management in Project,,,
7.3,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
,,Entrepreneurship and Innovation,,,
7.4,ME1019,Quản lý năng suất và chất lượng,3,,
,,Quality and Productivity Management,,,
,,Học kỳ 6 - 14 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(HT),
,,Scientific Socialism,,,
2,LA3023,Pháp văn 6,2,,
,,French 6,,,
3,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
4,CI2007,Sức bền vật liệu,4,,
,,Strength of Materials,,,
,,Các học phần tự chọn (Elective Courses),,,
5,,Tự chọn tự do (1),3,,
,,Free Elective,,,
,,Học kỳ 6 (hè) - 2 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI3395,Thực tập ngoài trường,2,CI2119(TQ),
,,Internship,,,
,,Học kỳ 7 - 18 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(HT),
,,History of Vietnamese Communist Party,,,
2,CI2135,Cơ kết cấu,3,CI2007(HT),
,,Mechanics of Structures,,,
3,CI2137,Cơ học đất,3,CI2095(HT),
,,Soil Mechanics,,,
4,CI2153,Thủy lực và thủy văn đô thị,4,,
,,Hydraulics and Urban Hydrology,,,
5,CI2037,Vật liệu xây dựng,3,,
,,Construction Materials,,,
,,Các học phần tự chọn (Elective Courses),,,
6,,Tự chọn tự do (2),3,,
,,Free Elective,,,
,,Học kỳ 8 - 14 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(HT),
,,Ho Chi Minh Ideology,,,
2,CI2145,Nền móng,4,CI2137(HT),
,,Foundation Engineering,,,
3,CI3241,Cấp thoát nước,3,CI2003(HT),
,,Water Supply and Sewerage,,,
4,CI4395,Thực tập kỹ sư,2,CI3395(TQ),
,,Engineering Internship,,,
,,Các học phần tự chọn (Elective Courses),,,
5,,Tự chọn tự do (3),3,,
,,Free Elective,,,
,,Học kỳ 9 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI5001,Đồ án chuyên ngành,2,CI3395(SH),
,,Specialized Project,,,
2,CI5003,Kiểm soát nước mưa chảy tràn đô thị,3,,
,,Urban Hydrology and Stormwater Management,,,
3,CI5011,Công trình cấp thoát nước và trạm bơm,3,,
,,Water Supply and Sanitation Structures and Pumping Station,,,
4,CI4213,Kỹ thuật xử lý nước,3,,
,,Water and Wastewater Treatment Engineering,,,
5,CI5009,Đồ án nghiên cứu khoa học và phát triển,1,,
,,R&D Training Project,,,
,,Các học phần tự chọn (Elective Courses),,,
6,,Tự chọn nhóm B,3,,
,,Elective Group B,,,
6.1,CI4195,Thủy lực nước ngầm,3,,
,,Groundwater Hydraulics,,,
6.2,CI5007,Mô hình hóa nước ngầm,3,,
,,Groundwater Modeling,,,
6.3,CI5033,Địa chất thủy văn,3,,
,,Hydrogeophysics,,,
,,Học kỳ 10 - 15 Tín chỉ,,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,CI5027,Luận văn tốt nghiệp,9,CI4395(TQ) CI5001(TQ),
,,Thesis,,,
,,Các học phần tự chọn (Elective Courses),,,
2,,Tự chọn nhóm C,3,,
,,Elective Group C,,,
2.1,CI5013,Kỹ thuật hạ tầng đô thị,3,,
,,Urban Infrastructure Engineering,,,
2.2,CI4211,Kỹ thuật xử lý nước cấp,3,,
,,Water Supply Treatment Engineering,,,
2.3,CI5035,Kỹ thuật xử lý nước thải,3,,
,,Wastewater Treatment Engineering,,,
3,,Tự chọn nhóm D,3,,
,,Elective Group D,,,
3.1,CI5037,Đánh giá tác động và rủi ro môi trường,3,,
,,Environmental Impact Assessment and Environmental Risk,,,
3.2,CI4193,Ứng dụng thống kê trong quản lý và công nghệ nước,3,,
,,Statistics Application in Water Engineering and Management,,,
3.3,CI5043,Chuyển tải bùn cát,3,,
,,Sediment transport,,,
