id,code,name,credits,prerequisites,note
AS1001,AS1001,Nhập môn Về kỹ thuật,3,,
AS1003,AS1003,Cơ lý thuyết,3,,X
AS2001,AS2001,Cơ học Ứng dụng,3,,
AS2003,AS2003,Kỹ thuật Lập trình Cơ Kỹ thuật,3,,X
AS2009,AS2009,Cơ sở Cơ học Lượng tử - Vật lý chất rắn,3,,
AS2011,AS2011,Lý Thuyết Đàn hồi,3,,X
AS2013,AS2013,CAD Ứng dụng,3,,X
AS2033,AS2033,Cảm biến và Kỹ thuật Đo lường,3,EE2011(KN),
AS2039,AS2039,Cơ sở vật lý Hạt nhân và Ứng dụng,3,PH1005(KN),
AS2045,AS2045,Đồ án Thiết kế cơ sở,1,,
AS2047,AS2047,Vật lý sóng,3,,
AS2049,AS2049,Cơ học Vật rắn và Sóng cơ,3,PH1009(HT) MT1015(HT) MT1011(HT),
AS2051,AS2051,Tính toán Khoa học,3,,
AS2055,AS2055,Cơ kỹ thuật đại cương,3,,
AS2065,AS2065,Cơ sở tối ưu,3,MT1003(HT),
AS2067,AS2067,Giải tích ma trận và topo tính toán,3,MT1007(HT),
AS2069,AS2069,Phương pháp số cho khoa học dữ liệu,4,MT1003(SHT) MT1007(SHT),
AS2071,AS2071,Cơ học kỹ thuật,3,,
AS2073,AS2073,Phương pháp tính và mô phỏng trong Kỹ thuật hạt nhân,3,,X
AS2075,AS2075,Cơ học lượng tử Vật lý nguyên tử và Vật lý hạt nhân nâng cao,4,,X
AS2077,AS2077,Đo lường và an toàn bức xạ ion hóa,3,,X
AS2079,AS2079,Thực tập cơ sở kỹ thuật hạt nhân,1,,X
AS2081,AS2081,Điện tử hạt nhân cảm biến và đo lường,3,,X
AS2083,AS2083,Vật lý Bán dẫn và Ứng dụng,3,,
AS2085,AS2085,Đồ án Thiết kế cơ sở,1,,X
AS3001,AS3001,Động học Robot,3,AS1003(KN),
AS3003,AS3003,Cơ học Môi trường liên tục,3,,
AS3013,AS3013,Tính toán Kết cấu,3,,
AS3015,AS3015,Phương pháp Phần tử hữu hạn Cơ kỹ thuật,3,AS2011(KN),X
AS3019,AS3019,Phân tích Số liệu thực nghiệm Cơ học,3,MT2013(KN),
AS3021,AS3021,Động lực học Hệ nhiều vật,3,AS1003(KN),
