id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
IU1011,IU1011,Vật lý Kỹ thuật Bảo trì,4,PH1003(KN),
IU2031,IU2031,Phương pháp số và Kỹ thuật lập trình,3,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
IU1001,IU1001,Nhập môn Về kỹ Thuật,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
IU4025,IU4025,Chi phí Bảo trì,3,,
IU4027,IU4027,Bảo trì Năng suất Toàn diện,3,,
ME2173,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
IU3105,IU3105,An toàn và Môi trường trong Bảo trì,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
IU1015,IU1015,Vẽ Kỹ thuật Bảo trì,3,,
CI2003,CI2003,Cơ lưu chất,3,,
ME2013,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
IU2035,IU2035,Kỹ thuật Điện trong Bảo trì,3,,
IU2001,IU2001,Cơ học Vật liệu,3,,
IU2043,IU2043,Công nghệ Cơ khí 1,3,,
IU3061,IU3061,Công nghệ Cơ khí 2,3,,
IU3115,IU3115,Tổ chức Quản lý Bảo trì,3,,
IU2011,IU2011,Kỹ thuật Điện tử,3,,
IU3017,IU3017,Kỹ thuật số,3,,
IU2039,IU2039,Thực tập Cơ khí,2,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quân vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
IU3091,IU3091,Kỹ thuật Bôi trơn Công nghiệp,3,,
IU3063,IU3063,Công nghệ Khí nén,3,,
IU4015,IU4015,Công nghệ Thủy lực,3,,
IU4017,IU4017,Công nghệ lạnh và điều hòa,3,,
IU3103,IU3103,Kỹ thuật Bảo trì Dự đoán,3,,
IU3011,IU3011,Kỹ thuật Lập trình PLC,3,,
IU3117,IU3117,Công nghệ Điện trong công nghiệp,3,,
IU3047,IU3047,Đồ án 1,1,,
IU3101,IU3101,Thực hành Hàn,1,,
IU4013,IU4013,Đồ án Chuyên ngành,2,,
IU3325,IU3325,Thực tập Ngoài trường,2,,
IU4327,IU4327,Đồ án Tốt nghiệp,4,IU3325(TQ),
