id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
CH2021,CH2021,Hóa hữu cơ,3,CH1003(TQ),
CH2111,CH2111,Thí nghiệm Hóa hữu cơ Cơ bản,1,CH2021(SHT),
CH1005,CH1005,Hóa lý Hóa keo,3,MT1003(KN) CH1003(TQ),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
CH1001,CH1001,Nhập môn về Kỹ thuật,3,,
CH4163,CH4163,An toàn Sinh học,3,CH4161(KN),
CH2027,CH2027,Sinh học Đại cương,3,,
CH2113,CH2113,Hóa phân tích,3,CH1003(TQ),
CH2115,CH2115,Thí nghiệm Hóa phân tích,1,CH2113(HT) CH1003(HT),
CI1003,CI1003,Vẽ kỹ thuật,3,,
CH2015,CH2015,Các quá trình Kỹ thuật Sinh học 1,3,,
CH2047,CH2047,Quá trình kỹ thuật sinh học 2,3,CH1005(TQ),
CH2093,CH2093,Quá trình Sinh học 3,3,CH1005(TQ),
CH3015,CH3015,Thí nghiệm Quá trình Thiết bị,3,CH2017(SHT) CH2035(SHT) CH2039(SHT),
CH2033,CH2033,Hóa sinh,4,CH2027(TQ),
CH3003,CH3003,Vi sinh vật (TN),4,CH2027(TQ),
CH3437,CH3437,Sinh học tế bào,3,CH2027(TQ),
CH3439,CH3439,Sinh học phân tử và di truyền,3,CH2027(TQ),
CH4161,CH4161,Công nghệ gen,3,CH2027(TQ) CH3439(KN),
CH3019,CH3019,Công nghệ Tế bào (TN),4,CH3437(KN),
CH3359,CH3359,Công nghệ Lên men Vi sinh vật (TN),4,CH3003(KN),
CH3021,CH3021,Công nghệ Protein - Enzyme (+TN),4,CH2033(KN),
CH4057,CH4057,Đồ án Công nghệ Sinh học,2,CH3375(TQ) CH4161(SHT) CH3359(SHT),
CH3441,CH3441,Sinh lý miễn dịch,3,CH2027(TQ),
CH3391,CH3391,Kỹ thuật thu nhận enzyme và ứng dụng,3,CH2027(KN) CH3021(KN),
CH3399,CH3399,Công nghệ Sản xuất Vaccine,3,CH3439(KN) CH2027(KN) CH3003(KN),
CH3401,CH3401,Công nghệ sản xuất kháng sinh,3,CH2027(KN) CH3003(KN),
CH3403,CH3403,Phương pháp đánh giá hoạt tính sinh học của các hợp chất tự nhiên,3,CH2027(KN) CH3003(KN),
CH3405,CH3405,Công nghệ nuôi trồng nấm,3,CH2027(KN) CH3003(KN),
CH3407,CH3407,Kỹ thuật nuôi cấy tế bào thực vật,3,CH2027(KN) CH3019(KN),
CH3409,CH3409,Công nghệ Sản xuất Vitamin,3,CH2027(KN) CH3003(KN),
CH3375,CH3375,Thực tập Ngoài trường,2,CH4161(SHT) CH3359(SHT),
CH4095,CH4095,Đồ án Chuyên ngành,2,CH4161(SHT) CH3359(SHT) CH3375(TQ),
CH4377,CH4377,Đồ án Tốt nghiệp,4,CH4057(TQ) CH4095(TQ),
CH3445,CH3445,Quản lý chất lượng thực phẩm,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
IM1023,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
