id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
CH2021,CH2021,Hóa hữu cơ,3,CH1003(TQ),
CH2111,CH2111,Thí nghiệm Hóa hữu cơ Cơ bản,1,CH2021(SHT),
CH1019,CH1019,Dinh dưỡng,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
CH1001,CH1001,Nhập môn về Kỹ thuật,3,,
CH4159,CH4159,An toàn Thực phẩm,3,CH2007(KN) CH2045(KN),
CH4163,CH4163,An toàn Sinh học,3,CH4161(KN),
CH3445,CH3445,Quản lý chất lượng thực phẩm,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
CH2007,CH2007,Hóa học - Hóa sinh Thực phẩm,4,,X
CH2049,CH2049,Thí nghiệm Hóa học và Hóa sinh Thực phẩm,2,CH2007(KN),
CH2045,CH2045,Vi sinh Thực phẩm,3,CH2007(KN),X
CH3001,CH3001,Thí nghiệm Vi sinh Thực phẩm,2,CH2045(KN),
CH1005,CH1005,Hóa lý Hóa keo,3,MT1003(KN) CH1003(TQ),
CI1003,CI1003,Vẽ kỹ thuật,3,,
CH2017,CH2017,Kỹ thuật Thực phẩm 1,3,,
CH2035,CH2035,Kỹ thuật Thực phẩm 2,3,,
CH2039,CH2039,Kỹ thuật Thực phẩm 3,3,,
CH3015,CH3015,Thí nghiệm Quá trình Thiết bị,2,CH2017(SHT) CH2035(SHT),
CH3017,CH3017,Công nghệ Chế biến Thực phẩm,3,CH2045(TQ),X
CH4001,CH4001,Thí nghiệm Công nghệ Chế biến Thực phẩm,2,CH3017(KN),
CH3371,CH3371,Phân tích Thực phẩm,3,,X
CH3433,CH3433,Thực hành phân tích thực phẩm,2,CH3371(KN),
CH3049,CH3049,Phân tích Cảm quan Thực phẩm,3,MT2013(KN),X
CH3053,CH3053,Thiết kế Nhà máy Thực phẩm,3,CH2045(KN),X
CH4099,CH4099,Đồ án Thiết kế Nhà máy Thực phẩm,2,CH3053(TQ) CH2039(KN),X
CH4155,CH4155,Thực phẩm từ thực vật,3,CH3017(KN),
CH3435,CH3435,Công nghệ lên men thực phẩm,3,CH3017(KN),X
CH4107,CH4107,Phát triển Sản phẩm Thực phẩm mới,3,CH3049(KN) CH3017(KN),
CH4111,CH4111,Vật lý thực phẩm,3,,
CH4113,CH4113,Kỹ thuật Bao gói Thực phẩm,3,,
CH4115,CH4115,Công nghệ Sau Thu hoạch,3,,
CH4157,CH4157,Thực phẩm từ động vật,3,CH3017(KN),
CH3365,CH3365,Thực tập Ngoài trường,2,CH3017(KN) CH3053(TQ),X
CH4103,CH4103,Đô án Chuyên ngành,2,,X
CH4367,CH4367,Đồ án Tốt nghiệp,4,CH4103(TQ),X
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
