id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
GE1013,GE1013,Khoa học Trái đất,4,,
GE1027,GE1027,Khoa học dữ liệu,3,MT1007(HT),
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tê Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
GE1001,GE1001,Nhập môn về Kỹ thuật,3,,
GE1029,GE1029,Sức khỏe An toàn Môi trường,3,,
IM1021,IM1021,Khởi nghiệp,3,,
GE2099,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
GE2065,GE2065,Vật liệu xây dựng,2,,
GE2067,GE2067,Sức bên - kết cấu vật liệu,3,,
GE2069,GE2069,Trắc địa công trình,3,MT1007(KN) MT1005(KN) MT1003(KN),
GE2071,GE2071,Kết cấu bê tông cốt thép,3,,
GE2073,GE2073,Các PP khảo sát và TN hiện trường,3,GE3229(SHT),
GE2075,GE2075,Thực hành các phương pháp khảo sát và TN hiện trườn,1,GE2073(SHT),
GE2077,GE2077,Địa chất thuỷ văn công trình,3,GE2069(KN),
GE3227,GE3227,Thí nghiệm vật liệu và kết cấu bê tông cốt thép,1,,
GE3229,GE3229,Địa kỹ thuật công trình,4,,
GE3231,GE3231,Quan trắc địa kỹ thuật công trình,3,GE2069(SHT),
GE3235,GE3235,Kinh tế xây dựng,2,,
GE3233,GE3233,Địa động lực công trình,2,GE2077(KN),
GE3241,GE3241,Thí nghiệm địa kỹ thuật công trình,1,GE3229(KN),
GE3243,GE3243,Vẽ kỹ thuật xây dựng,3,,
GE3225,GE3225,Phân tích dữ liệu,3,,
GE3237,GE3237,TK giải pháp cải tạo công trình trên đất yếu,3,GE3229(TQ),
GE4155,GE4155,TK các giải pháp ôn định công trình,3,GE3229(TQ),
GE4169,GE4169,Kỹ thuật thi công công trình ngầm,3,,
GE3239,GE3239,Kỹ thuật nên móng công trình,3,,
GE4157,GE4157,Kết cấu thép công trình ngầm,3,,
GE3373,GE3373,Thực tập ngoài trường,2,,
GE4159,GE4159,Đồ án chuyên ngành,2,GE3373(SHT),
GE4365,GE4365,Đồ án tốt nghiệp,4,GE4159(TQ) GE3373(TQ),
IM1021,IM1021,Khởi nghiệp,3,,
GE2099,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
GE4161,GE4161,TK hạ tầng kỹ thuật công trình,3,,
GE4163,GE4163,Thi công công trình cơ sở hạ tầng,3,,
GE4165,GE4165,Quản lý dự án,3,,
GE4167,GE4167,Quy hoạch hạ tầng đô thị,3,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
