id,code,name,credits,prerequisites,note
MT1015,MT1015,Đại số Tuyến tính,3,,
MT1011,MT1011,Giải tích 1,4,,
MT1013,MT1013,Giải tích 2,4,,
MT2009,MT2009,Xác suất và Thống kê,4,,
MT2007,MT2007,Giải tích 3,3,,
MT2011,MT2011,Phương pháp tính,3,,
PH1009,PH1009,Vật lý 1,4,,
PH2007,PH2007,Thí nghiệm Vật lý,1,,
PH2005,PH2005,Vật lý 2,4,,
CH1003,CH1003,Hóa đại cương,3,,
AS2049,AS2049,Cơ học Vật rắn và Sóng cơ,3,PH1009(HT) MT1015(HT) MT1011(HT),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính tri Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1011,LA1011,Pháp văn 1,2,,
LA1013,LA1013,Pháp văn 2,2,,
LA1015,LA1015,Pháp văn 3,2,,
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
EN1003,EN1003,Con người và Môi trường,3,,
TR1001,TR1001,Nhập môn Về Kỹ thuật,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
