id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1007,MT1007,Đại số Tuyến tính,3,,
PH1003,PH1003,Vật lý 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
CI1069,CI1069,Khoa học Trái đất,4,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
EN1003,EN1003,Con người và Môi trường,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
CI3289,CI3289,Lãnh đạo và Khởi nghiệp,3,,
CI3291,CI3291,Lãnh đạo và Quản Lý Dự án,3,,
CI1065,CI1065,Nhập môn Kiến trúc,3,,
CI1067,CI1067,Vẽ kỹ thuật Kiến trúc,3,CI1065(HT),
CI2097,CI2097,Nguyên lý Thiết kế Kiến trúc Công trình Dân dụng,4,,
CI2111,CI2111,Bố cục Tạo hình trong kiến trúc,3,CI1067(SHT),
CI2101,CI2101,Đồ án Thiết kế Cơ sở Kiến trúc,2,CI1067(HT),
CI2105,CI2105,Thiết kế Kỹ thuật Kiến trúc Công trình Dân dụng,3,CI1067(HT),
CI2103,CI2103,Nguyên lý Thiết kế Kiến trúc Công trình nhà ở,3,,
CI2107,CI2107,Thiết kế Kiến trúc 1 - Công trình Công cộng,3,CI2097(HT),
CI2099,CI2099,Lịch sử Kiến trúc và Định Cư,3,,
CI3273,CI3273,Thiết kế Kiến trúc II - Công trình Chung cư,3,CI2103(HT),
CI3293,CI3293,Kỹ thuật công trình dân dụng,4,CI2097(SHT),
CI2123,CI2123,Phân tích địa điểm và kiến tạo nơi chốn,3,,
CI2115,CI2115,Nguyên lý Quy hoạch và Thiết kế Đô thị,3,CI2123(SHT),
CI3249,CI3249,Thực tập Di sản Kiến trúc và Đô thị,2,,
CI2143,CI2143,Viễn thám,3,,
CI2045,CI2045,Hệ thống Thông tin Địa lý,3,,
CI3301,CI3301,Đo vẽ Địa hình,3,CI1007(HT),
CI3013,CI3013,Thủy văn Đô thị,3,,
CI3265,CI3265,Kỹ thuật Hạ tầng Đô thị,3,CI2137(HT),
CI4129,CI4129,Kinh tế Xây dựng,3,,
CI3285,CI3285,Nguyên lý Thiết kế Kiến trúc và Kỹ thuật Công trình Công nghiệ,3,,
CI3279,CI3279,Thiết kế Kiến trúc III - Công trình Công nghiệp,3,CI3285(SHT),
CI3269,CI3269,Sức bền Vật liệu,3,,
CI4177,CI4177,Thiết kế IV - Công trình Phức hợp,4,CI2107(HT) CI2097(HT),
CI3163,CI3163,Phân tích Thiết kế Kết cấu,3,,
CI3287,CI3287,Nguyên lý Thiết kế Kiến trúc Cảnh quan,3,,
CI3295,CI3295,Thiết kế III - trục cảnh quan đô thị,3,CI3287(HT),
CI4205,CI4205,Cảm thụ cảnh quan,3,,
CI4207,CI4207,Thiết kế IV - cảnh quan đô thị,4,CI3287(SHT),
CI4209,CI4209,Xu hướng kiến trúc cảnh quan đương đại,3,,
CI3485,CI3485,Thực tập Ngoài trường,2,,
CI4235,CI4235,Đồ án chuyên ngành,2,CI3485(SHT),
CI4487,CI4487,Đồ án Tốt nghiệp,4,CI4235(TQ) C13485(TQ),
SA4001,SA4001,Hoạt động sinh viên,0,,
