id,code,name,credits,prerequisites,note
MT1011,MT1011,Giải tích 1,4,,
MT1013,MT1013,Giải tích 2,4,,
MT1015,MT1015,Đại số Tuyến tính,3,,
MT2009,MT2009,Xác suất và Thống kê,4,,
MT2007,MT2007,Giải tích 3,3,,
MT2011,MT2011,Phương pháp tính,3,,
PH1009,PH1009,Vật lý 1,4,,
ME1021,ME1021,Vật lý điện từ,4,PH1009(KN) PH1003(KN),
PH2007,PH2007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
AS2071,AS2071,Cơ học kỹ thuật,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
ME1001,ME1001,Nhập môn Về Kỹ thuật,3,,
ME2019,ME2019,Môi trường và Con người,3,,
IM1021,IM1021,Khởi nghiệp,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1011,LA1011,Pháp văn 1,2,,
LA1013,LA1013,Pháp văn 2,2,,
LA1015,LA1015,Pháp văn 3,2,,
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
CI2001,CI2001,Sức bền Vật liệu,3,,
EE2009,EE2009,Hệ thống Máy tính và Ngôn ngữ Lập trình,3,MT2011(KN),
EE2031,EE2031,Điện - Giải tích mạch,3,MT1013(KN),
ME2003,ME2003,Nguyên lý máy,3,AS2071(SHT),
ME2179,ME2179,Hệ truyền động điện,3,ME1021(HT),
ME2007,ME2007,Chi tiết máy,3,,
ME2009,ME2009,Kỹ thuật Điều khiển Tự động,3,ME2179(SHT),
ME2089,ME2089,Vẽ kỹ thuật Cơ khí,4,,
ME2117,ME2117,Thí nghiệm Cơ học máy,1,ME2003(KN) ME2007(SHT),
ME2119,ME2119,Thực tập Công nhân,2,,
ME3009,ME3009,Các Quá trình Chế tạo,3,,
ME3351,ME3351,Kỹ thuật thủy lực và khí nén,4,,
ME3003,ME3003,Dung sai và Kỹ thuật đo,3,,
ME3011,ME3011,Động lực học và Điều khiển,3,ME2009(HT),
ME3139,ME3139,Đồ án Thiết kế,2,ME2089(HT) ME2007(SHT),
ME4127,ME4127,Thiết kế Hệ thống Cơ điện tử,3,,
ME4139,ME4139,Vi điều khiển,3,ME2179(SHT) ME2009(HT),
ME5003,ME5003,Kỹ thuật Robot,3,,
ME5005,ME5005,Hệ thống PLC,3,,
ME2013,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
ME2131,ME2131,Vật liệu cơ khí và công nghệ kim loại,3,ME1021(KN) PH1009(KN),
ME4201,ME4201,Nhập môn Thị giác Máy tính,3,EE2009(KN) CH1003(KN),
ME4203,ME4203,Nhập môn Điều khiển Hiện đại,3,ME3011(HT),
ME4205,ME4205,Tự động hóa Sản xuất,3,ME2009(HT),
ME4207,ME4207,Hệ thống Điều khiển Mờ,3,ME3011(SHT) ME2009(HT),
ME4211,ME4211,Hệ thống Thời gian thực,3,,
ME4215,ME4215,Nhập môn Điều khiển Quá trình Công nghiệp,3,ME2009(HT),
ME4217,ME4217,Điều khiển các Hệ thống Servo,3,,
ME3187,ME3187,Robot di động,3,ME3011(SHT),
ME4137,ME4137,Động lực học và Điều khiển các Hệ thống Robot,3,,
ME3181,ME3181,Trí tuệ Nhân tạo Ứng dụng,3,,
ME3805,ME3805,Mô phỏng Hệ thống Robot,3,,
ME3385,ME3385,Thực tập Ngoại trường,2,ME2119(TQ),
ME4385,ME4385,Thực tập Kỹ sư,3,ME3385(TQ),
ME5001,ME5001,Đồ án Chuyên ngành Cơ điện tử,2,ME4385(SHT) ME4127(TQ),
ME5017,ME5017,Luận văn Tốt nghiệp,9,ME4385(TQ) ME5001(TQ),
SA4001,SA4001,Hoạt động sinh viên,0,,
