id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
PH1005,PH1005,Vật lý 2,4,PH1003(KN),
ME2091,ME2091,Phương pháp số,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
ME1001,ME1001,Nhập môn Về Kỹ thuật,3,,
IM1013,IM1013,Kinh tế học Đại cương,3,,
IM1023,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
IM1027,IM1027,Kinh tế Kỹ thuật,3,,
IM3001,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
ME2019,ME2019,Môi trường và Con người,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
ME2003,ME2003,Nguyên lý máy,3,AS2071(SHT),X
ME2071,ME2071,Các Quá trình Chế tạo,3,,X
CI2001,CI2001,Sức bền Vật liệu,3,,
ME2089,ME2089,Vẽ kỹ thuật Cơ khí,4,,X
ME2007,ME2007,Chi tiết máy,3,,X
ME1013,ME1013,Thực tập Cơ khí Đại cương 1,2,,
CO1003,CO1003,Nhập môn về Lập trình,3,,
ME2117,ME2117,Thí nghiệm Cơ học máy,1,ME2003(KN); ME2007(SHT),
ME2087,ME2087,Thực tập Cơ khí Đại cương 2,2,,
ME2005,ME2005,Trang bị Điện - Điện tử trong Máy công nghiệp,4,,X
ME2013,ME2013,Nhiệt động lực học và Truyền nhiệt,3,,
AS2071,AS2071,Cơ học kỹ thuật,3,,
ME3003,ME3003,Dung sai và Kỹ thuật đo,3,,X
ME3281,ME3281,Vật liệu học và xử lý,3,,X
ME4063,ME4063,Công nghệ 4.0 trong Lãnh vực Cơ khí,3,,
ME3355,ME3355,Tự động hóa trong cơ khí,3,,X
ME3353,ME3353,Thực hành kỹ thuật chế tạo,2,,X
ME3351,ME3351,Kỹ thuật thủy lực và khí nén,4,,X
ME3141,ME3141,Thực hành Tự động hóa Thiết kế (CAD),1,ME2007(SHT),
ME3139,ME3139,Đồ án Thiết kế,2,,X
ME3135,ME3135,Thực tập Ngoài trường,2,,
ME4061,ME4061,Đồ án Chuyên ngành,2,ME3139(TQ); ME3135(SHT),X
ME4387,ME4387,Đồ án Tốt nghiệp (KT Cơ khí),4,ME4061(TQ); ME3135(TQ),X
SA4001,SA4001,Hoạt động sinh viên,0,,
