id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1007,MT1007,Đại số Tuyến tính,3,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
PH1007,PH1007,Thí nghiệm Vật lý,1,,
PH1003,PH1003,Vật lý 1,4,,
CH1003,CH1003,Hóa đại cương,3,,
CI1069,CI1069,Khoa học Trái đất,4,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
EN1003,EN1003,Con người và Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
CI1001,CI1001,Nhập môn Về kỹ thuật,3,,
CI2007,CI2007,Sức bền Vật liệu,4,,
CI2139,CI2139,Kết cấu Bê tông Cốt thép,3,CI2135(SHT),CI2007(TQ)
CI1007,CI1007,Trắc địa Đại cương,3,,
CI2003,CI2003,Cơ lưu chất,3,,
CI2095,CI2095,Địa chất Công trình,3,,
CI2147,CI2147,Thí nghiệm công trình,1,CI2139(HT),CI2133(HT)
CI2151,CI2151,Kinh tế Xây dựng,3,,
CI2145,CI2145,Nền móng,4,CI2137(HT),
CI2135,CI2135,Cơ kết cấu,3,CI2007(HT),
CI1033,CI1033,Vẽ kỹ thuật Xây dựng,3,,
CI2137,CI2137,Cơ học đất,3,CI2095(HT),
CI2037,CI2037,Vật liệu Xây dựng,3,,
CI2133,CI2133,Kết cấu thép,3,CI2007(HT),
CI3241,CI3241,Cấp thoát nước,3,CI2003(HT),
CI3265,CI3265,Kỹ thuật Hạ tầng Đô thị,3,CI2137(HT),
CI3013,CI3013,Thủy văn Đô thị,3,,
CI4023,CI4023,Thi công Công trình Cơ sở Hạ tầng,3,CI2139(HT),
CI4141,CI4141,Công trình Cấp thoát nước và Trạm bơm,3,,
CI3425,CI3425,Thực tập Ngoài trường,2,,
CI4173,CI4173,Đồ án Chuyên ngành,2,CI3425(SHT),CI3265(HT)
CI4427,CI4427,Đồ án Tốt nghiệp,4,CI3425(TQ),CI4173(TQ)
CI3289,CI3289,Lãnh đạo và Khởi nghiệp,3,,
CI3291,CI3291,Lãnh đạo và Quản Lý Dự án,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
SA4001,SA4001,Hoạt động sinh viên,0,,
