id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
GE1013,GE1013,Khoa học Trái đất,4,,
GE1027,GE1027,Khoa học dữ liệu,3,MT1007(HT),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
GE1001,GE1001,Nhập môn về Kỹ thuật,3,,
GE1025,GE1025,Kỹ thuật hệ thống và thực tiễn công nghiệp,3,GE1001(HT),
GE1029,GE1029,Sức khỏe An toàn Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
GE2051,GE2051,Cơ sở khoa học địa chất dầu khí và ngành dầu khí,3,GE1013(TQ) PH1003(KN),
GE2001,GE2001,Cơ sở Kỹ thuật Dầu khí,3,GE1001(KN) PH1003(KN),
GE2053,GE2053,Nhiệt động học vỉa và tính chất chất lưu,3,PH1003(KN) CH1003(KN),
GE2061,GE2061,Trầm tích học và nhịp địa tầng,3,GE2051(KN),
GE2063,GE2063,Kỹ thuật khoan dầu khí,3,GE2001(KN) GE2051(KN) MT1005(KN),
GE2059,GE2059,Địa chất kiến trúc và các phương pháp địa chấn,3,GE2051(KN),
GE3017,GE3017,Kỹ thuật Vỉa dầu khí,3,GE2053(KN) MT1005(KN) GE2001(KN),
GE3205,GE3205,Cơ học đá Dầu khí,3,,
GE2055,GE2055,Địa vật lý dầu khí và đánh giá thành hệ,3,GE2001(KN) GE2051(KN),
GE2057,GE2057,Đồ án tổng quan về địa năng lượng,1,GE2001(KN) GE2051(KN),
GE3213,GE3213,Địa thống kê Ứng dụng trong Kỹ thuật Dầu khí,3,MT2013(HT),
GE3219,GE3219,Hoàn thiện và kích thích giếng,3,CH1003(KN) PH1007(KN) GE2063(SHT),
GE3217,GE3217,Kỹ thuật khai thác dầu khí,3,GE3017(TQ),
GE3105,GE3105,Đặc trưng Hóa và Mô hình Hóa vỉa,3,,
GE4091,GE4091,Mô phỏng Vỉa dầu khí,3,MT2013(KN) GE3017(TQ),
GE4145,GE4145,Thử vỉa và phân tích áp suất chuyển tiếp,3,GE3017(TQ),
GE4153,GE4153,Quản lý dự án và vỉa dầu khí tích hợp,3,GE3217(TQ),
GE3223,GE3223,Các quá trình vận chuyển và chế biến dầu khí,3,GE2053(KN),
GE3221,GE3221,Tổn hại thành hệ và cải thiện năng suất khai thác,3,GE2055(KN) GE3217(KN),
GE4147,GE4147,Các nguồn tài nguyên phi truyền thống và phương pháp khai thác,3,GE3217(KN) GE3017(TQ) GE2063(KN),
GE4149,GE4149,Thu hồi lưu trữ carbon trong thành hệ địa chất,3,GE2051(KN) GE2001(KN) CH1003(KN),
GE4151,GE4151,Năng lượng bền vững,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
GE3345,GE3345,Thực tập Ngoài trường,2,,
GE4141,GE4141,Đồ án Chuyên ngành,2,GE3345(SHT),X
GE4347,GE4347,Đồ án Tốt nghiệp,4,GE3345(TQ) GE4141(TQ),X
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá,0,,
PE1011,PE1011,Bóng chuyền,0,,
PE1013,PE1013,Bóng bàn,0,,
PE1021,PE1021,Aerobic,0,,
PE1015,PE1015,Bóng rổ,0,,
PE1017,PE1017,Cầu lông,0,,
PE1025,PE1025,Điền kinh,0,,
PE1019,PE1019,Bơi,0,,
PE1027,PE1027,Quần vợt,0,,
PE1053,PE1053,Cờ vua,0,,
PE1057,PE1057,Bowling,0,,
PE1061,PE1061,Pickleball,0,,
PE1037,PE1037,Bóng bàn,0,,
PE1041,PE1041,Cầu lông,0,,
PE1033,PE1033,Bóng đá,0,,
PE1045,PE1045,Aerobic,0,,
PE1043,PE1043,Bơi,0,,
PE1039,PE1039,Bóng rổ,0,,
PE1035,PE1035,Bóng chuyền,0,,
PE1049,PE1049,Điền kinh,0,,
PE1051,PE1051,Quần vợt,0,,
PE1055,PE1055,Cờ vua,0,,
PE1063,PE1063,Pickleball,0,,
PE1059,PE1059,Bowling,0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
