id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
PH1005,PH1005,Vật lý 2,4,PH1003(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
ME1001,ME1001,Nhập môn Về Kỹ thuật,3,,
ME1017,ME1017,Môi trường và phát triển bền vững trong dệt may,3,,
IM1013,IM1013,Kinh tế học Đại cương,3,,
IM1023,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
IM1027,IM1027,Kinh tế Kỹ thuật,3,,
IM3001,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (Học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
ME1003,ME1003,Cơ khí Đại cương,3,,
ME2065,ME2065,Công nghệ may 1,3,,
ME2101,ME2101,Cơ học máy,3,,
ME2103,ME2103,Khoa học Vật liệu dệt,3,,
ME2107,ME2107,Thí nghiệm Kiểm tra phân tích Vật liệu dệt,2,,
ME2169,ME2169,Kiểm định và đánh giá chất lượng hàng dệt may,3,,
ME2163,ME2163,Công nghệ dệt nhuộm,3,,
ME2175,ME2175,Kinh doanh thời trang,3,,
ME2173,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
ME3287,ME3287,Thực tập kỹ thuật,3,,
ME3285,ME3285,Công nghệ may 2,3,,
ME3291,ME3291,Mỹ thuật trang phục,3,,
ME3095,ME3095,Kỹ thuật trang trí Trang phục,3,,
ME3105,ME3105,Thiết kế Đồ hoa,3,,
ME3115,ME3115,Thiết kế Trang phục 2,3,,
ME3137,ME3137,Thiết kế Trang phục 1,3,,
ME3175,ME3175,Thiết bị may,3,,
ME3177,ME3177,Thực tập Thiết kế Đồ họa,1,,
ME3289,ME3289,Thiết kế chuyền,3,,
ME3133,ME3133,Thực tập Ngoài trường,2,,
ME4121,ME4121,Đồ án Ngành 1,2,ME3133(SHT),
ME4357,ME4357,Đồ án Tốt nghiệp (Công nghệ Dệt may),4,ME4121(TQ) ME3133(TQ),
SA4001,SA4001,Hoạt động sinh viên,0,,
