id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
GE1013,GE1013,Khoa học Trái đất,4,,
GE1027,GE1027,Khoa học dữ liệu,3,MT1007(HT),
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
GE1001,GE1001,Nhập môn về Kỹ thuật,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
GE2099,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
GE3153,GE3153,Quản lý Tài nguyên Đất và Khoáng sản,3,,
GE3245,GE3245,Quản lý dự án,3,,
GE1029,GE1029,Sức khỏe An toàn Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
GE2069,GE2069,Trắc địa công trình,3,MT1007(KN) MT1005(KN) MT1003(KN),
GE2035,GE2035,Địa chất Kiến trúc và Đo vẽ Bản đồ Địa chất,3,GE1013(HT),
GE3099,GE3099,Ổn định Công trình,3,,
GE2021,GE2021,Cơ sở Thủy địa Cơ học,3,GE1013(HT),
GE3013,GE3013,Thí nghiệm Địa kỹ thuật,1,GE2081(SHT),
GE2031,GE2031,Địa chất Thủy văn,3,,
GE4249,GE4249,Công trình khai đào,3,,
GE3243,GE3243,Vẽ kỹ thuật xây dựng,3,,
GE3147,GE3147,Địa hóa Môi trường,3,,
GE2079,GE2079,Khoáng vật và thạch học,3,,
GE2081,GE2081,Địa kỹ thuật,3,,
GE3089,GE3089,Khai thác và Bảo vệ Tài nguyên Nước dưới đất,3,GE2021(SHT) GE2031(SHT) GE1013(HT),
GE4029,GE4029,Các Phương pháp Gia cố đất,3,GE3099(SHT) GE2081(HT),
GE2073,GE2073,Các PP khảo sát và TN hiện trường,3,GE3229(SHT),
GE4175,GE4175,Đánh giá tác động môi trường,3,,
GE4177,GE4177,Thiết kế và giải pháp thi công đê kè và mái dốc,3,,
GE3137,GE3137,Công trình Xây dựng,3,,
GE2083,GE2083,Cơ học đá,3,GE2081(SHT),
GE3203,GE3203,Ứng dụng GIS và Viễn Thám trong Quản lý Tài nguyên,3,GE2043(HT),
GE3279,GE3279,Kiểm kê khí thải,3,,
GE3141,GE3141,Địa thống kê,3,MT2013(HT),
GE4033,GE4033,Nền móng Công trình,3,,
GE3247,GE3247,Địa vật lý ứng dụng,3,,
GE3037,GE3037,Thực tập Kỹ thuật Phân tích các Chỉ tiêu của Môi trường Địa ch,1,,
GE4173,GE4173,Xử lý môi trường địa chất,2,,
GE2075,GE2075,Thực hành các phương pháp khảo sát và TN hiện trường,1,GE2073(SHT),
GE4181,GE4181,Địa kỹ thuật công trình biển,3,,
GE4069,GE4069,Địa chất Động lực Công trình + Kiến tập,3,,
GE4205,GE4205,Ứng dụng công nghệ mới trong kỹ thuật địa chất,3,,
GE4179,GE4179,Quan trắc địa kỹ thuật,3,,
GE3335,GE3335,Thực tập Ngoài trường,2,,
GE4143,GE4143,Đồ án Chuyên ngành,2,,
GE4337,GE4337,Đồ án Tốt nghiệp,4,GE3335(TQ) GE4143(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
