id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
EE1007,EE1007,Vật lý Bán dẫn,4,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
EE1001,EE1001,Nhập môn Về kỹ Thuật,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
EE1009,EE1009,Kỹ thuật số,3,EE2031(KN) EE1007(KN),
EE2003,EE2003,Trường điện từ,3,MT1013(KN) MT1005(KN),
EE2081,EE2081,Ngôn ngữ lập trình,3,MT1009(KN),
EE2017,EE2017,Cơ sở Kỹ thuật điện,3,EE2003(KN) EE2031(KN) EE2033(KN),X
EE2019,EE2019,Cơ sở Điều khiển Tự động,3,EE2031(KN) EE2033(KN),
EE2021,EE2021,Cơ sở Điện tử Công suất,3,EE2033(KN),X
EE2023,EE2023,Thực tập Điện tử 1,1,EE2033(KN),X
EE2025,EE2025,Thực tập Điện 1,1,EE2033(KN),X
EE2033,EE2033,Giải tích mạch,3,MT1005(KN),
EE2035,EE2035,Mạch điện tử,3,EE2033(TQ) EE1007(KN),
EE2039,EE2039,Vi xử lý,3,EE1009(SHT),X
EE3023,EE3023,Thực tập Điện 2,1,EE2017(KN) EE2033(KN),X
EE3181,EE3181,Đồ án 1 (Kỹ thuật điện),1,EE2023(KN) EE2025(KN) EE2021(KN) EE2019(KN) EE2017(TQ),X
EE3001,EE3001,Hệ thống Cung cấp Điện,3,EE2017(KN),X
EE3009,EE3009,Máy điện,3,EE2017(TQ) EE2003(KN),X
EE3195,EE3195,Hệ thống điện 1,3,MT1009(KN) EE2033(KN),X
EE3197,EE3197,Hệ thống điện 2,3,EE3195(KN) EE2017(KN),X
EE3097,EE3097,Kỹ thuật An toàn điện,3,EE2031(KN) EE2033(KN),X
EE3345,EE3345,Thực tập Ngoài trường,2,EE3195(KN) EE2019(KN) EE2021(KN) EE3181(SHT),X
EE4007,EE4007,Đồ án 2 (Kỹ thuật điện),2,EE3197(KN) EE3001(KN) EE3195(TQ) EE2021(TQ) EE3181(TQ) EE3345(SHT),X
EE4347,EE4347,Đồ án Tốt nghiệp,4,EE3345(TQ) EE4007(TQ),X
EE3087,EE3087,Bảo vệ Rơle trong Hệ thống Điện,3,EE3013(KN) EE3195(KN),
EE3089,EE3089,Kỹ thuật Cao áp,3,EE3195(KN),
EE3091,EE3091,Vật liệu Kỹ thuật điện,3,EE2003(KN),
EE3093,EE3093,Vận hành và Điều khiển Hệ thống điện,3,EE3013(KN) EE3195(KN),
EE3095,EE3095,Ổn định Hệ thống điện,3,EE3195(KN),
EE3099,EE3099,Kỹ thuật Chiếu sáng,3,EE2017(KN),
EE3143,EE3143,Điều khiển và ứng dụng các bộ biến đổi công suất,3,EE2021(KN),
EE3101,EE3101,Kỹ thuật Tiết kiệm và Sử dụng Hiệu quả Điện năng,3,EE3001(KN) EE2021(KN),
EE3145,EE3145,Kỹ thuật ra Quyết định,3,EE3195(KN) EE3001(KN),
EE3179,EE3179,Truyền động điện,3,EE3009(KN) EE2021(KN),
EE3131,EE3131,Hệ thống Năng lượng xanh,3,EE2021(KN) EE2017(KN),
EE3133,EE3133,Thiết bị điện trong Phân phối điện,3,EE2033(TQ),
EE3135,EE3135,Kỹ thuật Nhiệt lạnh,3,PH1003(KN) EE2017(KN),
