id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
PH1005,PH1005,Vật lý 2,4,PH1003(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tê Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
ME1001,ME1001,Nhập môn Về Kỹ thuật,3,,
ME2181,ME2181,Quản lý Dự án trong Công nghiệp và Dịch vụ,3,,
ME2177,ME2177,Thiết kế công việc và Ergonomics,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
CI1003,CI1003,Vẽ kỹ thuật,3,,
ME1009,ME1009,Quản lý Sản xuất,3,,
ME2045,ME2045,Kinh tê Kỹ thuật,3,,
ME2049,ME2049,Ứng dụng Máy tính trong Công nghiệp,3,,x
ME2051,ME2051,Vận trù học,3,,x
ME2123,ME2123,Kỹ thuật Hệ thống,3,ME1009(HT),x
ME2139,ME2139,Thiết kế mặt bằng,3,,x
ME2141,ME2141,Kỹ thuật dự báo,3,MT2013(HT),x
ME2143,ME2143,Thực tập đại cương,2,,
ME2147,ME2147,Thực hành mô hình hóa và mô phỏng,2,ME2149(HT),x
ME2149,ME2149,Kỹ thuật mô hình hóa và mô phỏng,3,MT2013(HT),x
ME2319,ME2319,Kỹ thuật và Quản lý Logistics,3,,
ME3161,ME3161,Quản lý Vật tư và Tồn Kho,3,ME1009(HT),x
ME3225,ME3225,Kiểm soát và Quản lý chất lượng,3,ME1009(HT),x
ME3229,ME3229,Kỹ thuật ra Quyết định,3,ME2051(HT),
ME4031,ME4031,Kỹ thuật Điều độ (KT Hệ thống Công Nghiệp),3,ME2051(HT),x
ME4607,ME4607,Phân tích và Thiết kế Hệ thống thông tin Quản lý,3,,
ME4615,ME4615,Sản xuất Tinh gọn,3,,
ME3127,ME3127,Thực tập Ngoài trường,2,,
ME4101,ME4101,Đồ án Thiết kế Hệ thống Công nghiệp,2,ME3127(SHT),x
ME4367,ME4367,Đồ án Tốt nghiệp (Kỹ thuật Hệ thống Công nghiệp),4,ME4101(TQ) ME3127(TQ),x
SA4001,SA4001,Hoạt động sinh viên,0,,
