id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
CH2113,CH2113,Hóa phân tích,3,CH1003(TQ),
CH2013,CH2013,Hóa vô cơ (+TN),4,CH1003(TQ),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
CH1001,CH1001,Nhập môn về Kỹ thuật,3,,
CH3423,CH3423,Phát triển bền vững và xử lý môi trường,3,CH2051(KN) CH2043(KN) CH2019(KN),
IM1013,IM1013,Kinh tế học Đại cương,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
IM1023,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
IM1027,IM1027,Kinh tế Kỹ thuật,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
CH3445,CH3445,Quản lý chất lượng thực phẩm,3,,
CH2003,CH2003,Hóa lý 1,3,CH1003(TQ) MT1003(KN),
CH2019,CH2019,Quá trình và Thiết bị Cơ học,3,,
CH2021,CH2021,Hóa hữu cơ,3,CH1003(TQ),
CH2041,CH2041,Thí nghiệm Hóa lý,2,CH2109(SHT) CH1003(TQ) CH2003(TQ),
CH2043,CH2043,Quá trình và Thiết bị Truyền nhiệt,3,CH2003(TQ),
CH2051,CH2051,Quá trình và Thiết bị Truyền khối,3,CH2003(TQ),
CH2053,CH2053,Thí nghiệm Hóa hữu cơ,2,CH2155(TQ) CH2051(KN) CH2043(KN) CH2021(KN),
CH2109,CH2109,Hóa lý 2,3,CH1003(TQ) CH2003(KN),
CH3347,CH3347,Kỹ thuật Phản ứng,3,,
CI1003,CI1003,Vẽ kỹ thuật,3,,
CH2155,CH2155,Thí nghiệm Hóa phân tích,2,CH1003(TQ) CH2113(KN),
CH3015,CH3015,Thí nghiệm Quá trình Thiết bị,2,CH2017(SHT) CH2035(SHT) CH2039(SHT),
