id,code,name,credits,prerequisites,note
MT1011,MT1011,Giải tích 1,4,,
MT1015,MT1015,Đại số Tuyến tính,3,,
MT1013,MT1013,Giải tích 2,4,,
MT2009,MT2009,Xác suất và Thống kê,4,,
MT2007,MT2007,Giải tích 3,3,,
MT2011,MT2011,Phương pháp tính,3,,
PH1009,PH1009,Vật lý 1,4,,
PH2007,PH2007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
PH2005,PH2005,Vật lý 2,4,,
AS2049,AS2049,Cơ học Vật rắn và Sóng cơ,3,PH1009(HT) MT1015(HT) MT1011(HT),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
EN1003,EN1003,Con người và Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1011,LA1011,Pháp văn 1,2,,
LA1013,LA1013,Pháp văn 2,2,,
LA1015,LA1015,Pháp văn 3,2,,
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
CI1001,CI1001,Nhập môn Về kỹ thuật,3,,
CI2119,CI2119,Thực tập Công nhân,2,,
CI2127,CI2127,Hóa học Nước trong Kỹ thuật Môi trường,3,,
CI2003,CI2003,Cơ lưu chất,3,,
CI2095,CI2095,Địa chất Công trình,3,,
CI2007,CI2007,Sức bền Vật liệu,4,,
CI2137,CI2137,Cơ học đất,3,CI2095(HT),
CI2135,CI2135,Cơ kết cấu,3,CI2007(HT),
CI2037,CI2037,Vật liệu Xây dựng,3,,
CI2145,CI2145,Nền móng,4,CI2137(HT),
CI2131,CI2131,Thí nghiệm Môi trường Nước đô thị,1,,
CI2153,CI2153,Thủy lực và Thủy văn Đô thị,4,,
EE2031,EE2031,Điện - Giải tích mạch,3,MT1013(KN),
CI3241,CI3241,Cấp thoát nước,3,CI2003(HT),
CI4213,CI4213,Kỹ thuật xử lý nước,3,,
CI5003,CI5003,Kiểm soát nước mưa chảy tràn đô thị,3,,
CI5009,CI5009,Đồ án Nghiên cứu Khoa học và Phát triển,1,,
CI5011,CI5011,Công trình cấp thoát nước và trạm bơm,3,,
CI3395,CI3395,Thực tập Ngoài trường,2,CI2119(TQ),
CI4395,CI4395,Thực tập Kỹ sư,2,CI3395(TQ),
CI5001,CI5001,Đồ án chuyên ngành,2,CI3395(SHT),
CI5027,CI5027,Luận văn Tốt nghiệp,9,CI4395(TQ) CI5001(TQ),
CI1033,CI1033,Vẽ kỹ thuật Xây dựng,3,,
CI2157,CI2157,Nhập môn BIM trong Xây dựng,3,,
CI2129,CI2129,Các Quá trình Xử lý trong Kỹ thuật Môi trường,3,,
CI4195,CI4195,Thủy lực nước ngầm,3,,
CI5007,CI5007,Mô hình hóa nước ngâm,3,,
CI5033,CI5033,Địa chất thủy văn,3,,
CI5013,CI5013,Kỹ thuật hạ tầng đô thị,3,,
CI4211,CI4211,Kỹ thuật xử lý nước cấp,3,,
CI5035,CI5035,Kỹ thuật xử lý nước thải,3,,
CI5037,CI5037,Đánh giá tác động và rủi ro môi trường,3,,
CI4193,CI4193,ứng dụng thống kê trong quản lý và công nghệ nước,3,,
CI5043,CI5043,Chuyển tải bùn cát,3,,
CI3289,CI3289,Lãnh đạo và Khởi nghiệp,3,,
CI3291,CI3291,Lãnh đạo và Quản Lý Dự án,3,,
CI3411,CI3411,Lãnh đạo và quản lý năng lượng,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
