id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1007,MT1007,Đại số Tuyến tính,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
PH1005,PH1005,Vật lý 2,4,PH1003(KN),
CH1003,CH1003,Hóa đại cương,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH2009,CH2009,Hóa phân tích,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
MA1001,MA1001,Nhập môn Về Kỹ thuật,3,,
IM1013,IM1013,Kinh tế học Đại cương,3,,
IM1027,IM1027,Kinh tế Kỹ thuật,3,,
IM3001,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
IM1021,IM1021,Khởi nghiệp,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
IM1023,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
MA4123,MA4123,Phát triển Bền vững và Công nghệ Xử lý Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
