id,code,name,credits,prerequisites,note
IM1017,IM1017,Thống kê trong Kinh doanh,3,,
MT1007,MT1007,Đại số Tuyến tính,3,,
MT1017,MT1017,Giải tích trong Kinh doanh,3,,
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
CH1017,CH1017,Sinh học đại cương,3,,
EN1015,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
GE1013,GE1013,Khoa học Trái đất,4,,
GE1011,GE1011,Địa vật Lý Đại Cương + Kiến tập,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
IM1001,IM1001,Giới thiệu ngành,3,,
IM3051,IM3051,Đạo đức Kinh doanh và Trách nhiệm Xã hội,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
IM1003,IM1003,Kinh tế học Vi mô,3,,
IM1007,IM1007,Quản trị Đại cương,3,,
IM1009,IM1009,Kinh tế học Vĩ mô,3,IM1003(KN),
IM1015,IM1015,Kế toán Tài chính,3,,
IM1019,IM1019,Tiếp thị Căn bản,3,,
IM1029,IM1029,Hệ thống Sản xuất,3,,
IM1033,IM1033,Công nghệ số trong kinh doanh,3,,
IM2017,IM2017,Hành vi Tổ chức,3,IM1007(KN),
IM2019,IM2019,Kế toán Quản trị,3,IM1015(KN),
IM2031,IM2031,Quản lý Sản xuất,3,,
IM2035,IM2035,Phương pháp Định lượng,3,,
IM2029,IM2029,Thực tập Nhận Thức,2,IM1001(TQ),
IM2033,IM2033,Tài chính Doanh nghiệp,3,IM1015(KN) IM1009(KN) IM1003(KN),
IM3047,IM3047,Giao tiếp trong Kinh doanh,3,,
IM3059,IM3059,Quản lý Chiến lược,3,IM1007(KN) IM1009(KN),
IM3063,IM3063,Quản lý Chất lượng,3,,
IM3107,IM3107,Khởi nghiệp và đổi mới sáng tạo,3,,
IM3087,IM3087,Hệ thống Thông tin Quản lý,3,,
IM3105,IM3105,Phương pháp nghiên cứu trong kinh doanh,3,IM1019(KN) IM1017(KN),
IM3021,IM3021,Quản lý Chuỗi cung ứng,3,,
IM3073,IM3073,Điều độ Sản xuất,3,IM2031(KN) IM1029(KN),
IM3055,IM3055,Quản lý Nhân sự,3,IM1007(KN),
IM3077,IM3077,Quản lý Sản xuất Theo Lean và Sáu Sigma,3,,
IM3041,IM3041,Hệ Hỗ trợ Quyết định và Trí tuệ Kinh doanh,3,,
IM3085,IM3085,Tài chính Quốc tế,3,,
IM3081,IM3081,Quản trị Kinh doanh Quốc tế,3,IM1009(TQ),
IM3075,IM3075,An toàn Công nghiệp và Quản lý Rủi ro,3,,
IM3023,IM3023,Thương mại Điện tử,3,,
IM3033,IM3033,Tiếp thị giữa các Tổ chức,3,IM1019(TQ),
IM3097,IM3097,Chuyển đổi Cung ứng Kỹ thuật số,3,,
IM3091,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
IM3099,IM3099,Quản lý Chuỗi cung Ứng Theo Lean,3,,
IM3095,IM3095,Quản lý Vận hành Bán lẻ,3,,
IM3029,IM3029,Quản lý Công nghệ,3,,
IM3093,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
IM3083,IM3083,Hành vi Người tiêu dùng,3,IM1019(KN),
IM3089,IM3089,Đổi mới sản phẩm/dịch vụ,3,,
IM3109,IM3109,Tiếp thị số,3,,
IM3009,IM3009,Hệ thống Tài chính,3,IM1009(TQ),
IM3103,IM3103,Quản lý rủi ro chuỗi cung ứng,3,,
IM3101,IM3101,Quản lý Cung ứng và Thu mua Quốc tế,3,,
IM4007,IM4007,Kế hoạch Kinh doanh,3,IM2033(TQ) IM1019(TQ),
IM4035,IM4035,ISO 9000,3,IM3063(KN),
IM4003,IM4003,Quản lý Dự án,3,,
IM4019,IM4019,Khoa học Dữ liệu trong Kinh doanh,3,,
IM3035,IM3035,Quản lý Bảo trì,3,IM1017(KN) IM2031(KN),
IM3021,IM3021,Quản lý Chuỗi cung ứng,3,,
IM3091,IM3091,Phân tích và Thiết kế Chuỗi cung ứng,3,,
IM3093,IM3093,Quản lý logistics và vận chuyển quốc tế,3,,
IM3095,IM3095,Quản lý Vận hành Bán lẻ,3,,
