id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
EN1017,EN1017,Hóa Môi trường,3,,
EN1015,EN1015,Vi sinh Vật đại cương và Thí nghiệm,4,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
EN1001,EN1001,Nhập môn Về kỹ thuật,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
IM1027,IM1027,Kinh tế Kỹ thuật,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
ME2173,ME2173,Các công nghệ 4.0 trong quản lý năng suất và chất lượng,3,,
EN3217,EN3217,Nhập môn phương pháp nghiên cứu khoa học trong lĩnh vực tài nguyên và môi trường,3,EN1001(KN),
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
CI1003,CI1003,Vẽ kỹ thuật,3,,
CI2003,CI2003,Cơ lưu chất,3,,
EN2065,EN2065,Hóa phân tích trong môi trường,3,CH1003(KN),
EN1005,EN1005,Sinh thái học,3,CH1003(KN),
EN2003,EN2003,Các Quá trình Sinh học trong Kỹ thuật Môi trường,3,CI2003(KN),
EN2061,EN2061,Các quá trình Hoá học và Hoá lý trong kỹ thuật môi trường,3,,
EN2033,EN2033,Luật và Chính sách Môi trường,3,SP1007(KN),
EN2047,EN2047,Kinh tế Tài nguyên và Môi trường,3,,
EN2049,EN2049,Phân tích Hệ thống Môi trường,3,,
EN2051,EN2051,Độc học Môi trường,3,CH1003(KN),
EN2039,EN2039,Thực tập Tham quan,1,EN1001(TQ),
EN3003,EN3003,Ứng dụng GIS và Viễn Thám trong Quản lý Tài nguyên và Môi trường,3,EN2033(KN),
EN3205,EN3205,Thủy văn Môi trường,3,MT2013(KN),
EN3039,EN3039,Quản lý Tài nguyên nước,3,EN1005(KN),
EN3047,EN3047,Đánh giá Tác động và Rủi ro Môi trường,3,EN2033(KN),
EN3069,EN3069,Quản lý Chất thải Rắn và Chất thải Nguy hại,3,EN1017(KN),
EN3083,EN3083,Quan trắc Môi trường,3,EN1017(KN),
EN3099,EN3099,Công nghệ xanh,3,CH1003(KN),
EN3005,EN3005,Kỹ thuật Xử lý Nước cấp,4,EN2061(KN),
EN3013,EN3013,Kỹ thuật Xử lý Nước thải,4,EN2003(KN),
EN3087,EN3087,Biến đổi Khí hậu,3,,
EN3089,EN3089,Quản lý vùng bờ,3,,
EN3093,EN3093,Quản lý và kiểm soát ô nhiễm đất,3,EN1017(KN),
EN3127,EN3127,Sản xuất sạch hơn,3,,
EN3215,EN3215,Kiểm soát ô nhiễm không khí & tiếng ồn,3,,
EN3209,EN3209,Mô hình Hóa Môi trường,3,,
EN3335,EN3335,Thực tập Ngoài trường,2,,
EN4023,EN4023,Đồ án Chuyên ngành,2,EN3335(SHT),
EN4337,EN4337,Đồ án Tốt nghiệp,4,EN4023(TQ) EN3335(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
