id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số tuyến tính,3,,
MT2013,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
CH1003,CH1003,Hóa đại cương,3,,
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm vật lý,1,,
EE1007,EE1007,Vật lý bán dẫn,4,,
MT1009,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
SP1007,SP1007,Pháp luật Việt Nam đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
EE1001,EE1001,Nhập môn về kỹ thuật,3,,
IM1013,IM1013,Kinh tế học đại cương,3,,
IM1023,IM1023,Quản lý sản xuất cho kỹ sư,3,,
IM1025,IM1025,Quản lý dự án cho kỹ sư,3,,
IM1027,IM1027,Kinh tế kỹ thuật,3,,
IM3001,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
EN1003,EN1003,Con người và môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
EE2003,EE2003,Trường điện từ,3,EE2033(KN) MT1005(KN),
EE2015,EE2015,Xử lý số tín hiệu,3,EE2005(KN),
EE2047,EE2047,Truyền số liệu và mạng,3,EE1009(KN) EE2005(KN),
EE2049,EE2049,Thực tập điện tử 2,1,,
EE2017,EE2017,Cơ sở kỹ thuật điện,3,EE2033(KN),
EE2019,EE2019,Cơ sở điều khiển tự động,3,EE2033(KN),
EE2021,EE2021,Cơ sở điện tử công suất,3,EE2033(KN),
EE2051,EE2051,Thực tập điện 2,1,,
EE1009,EE1009,Kỹ thuật số,3,EE1007(KN) EE2033(SH),
EE2005,EE2005,Tín hiệu và hệ thống,3,EE2033(KN),
EE2009,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,MT1009(KN),
EE2023,EE2023,Thực tập điện tử 1,1,EE2033(KN),
EE2025,EE2025,Thực tập điện 1,1,EE2033(KN),
EE2033,EE2033,Giải tích mạch,3,MT1005(KN),
EE2035,EE2035,Mạch điện tử,3,EE1007(KN) EE2033(KN),
EE2039,EE2039,Vi xử lý,3,EE1009(KN),
EE2059,EE2059,Đồ án 1 (KT Điện tử- Viễn thông & Kỹ thuật điều khiển và Tự động hóa),1,,
EE3003,EE3003,Thiết kế hệ thống nhúng,3,EE2039(KN),
EE3011,EE3011,Mạch điện tử thông tin,3,EE2035(TQ),
EE3015,EE3015,Kỹ thuật hệ thống viễn thông,3,EE2005(KN),
EE3025,EE3025,Kỹ thuật siêu cao tần,3,EE2003(KN) EE2035(TQ),
EE3165,EE3165,Thiết kế vi mạch,3,EE1007(KN) EE2035(KN),
EE3031,EE3031,Lập trình hệ thống nhúng,3,EE3003(KN),
EE3035,EE3035,Xử lý ảnh,3,EE2015(KN),
EE3037,EE3037,Điện tử y sinh,3,EE1007(KN) EE2035(KN),
EE3041,EE3041,Xử lý tín hiệu số với FPGA,3,EE1009(KN) EE2015(KN),
EE3043,EE3043,Cấu trúc máy tính,3,EE2039(KN),
EE3085,EE3085,Mạng viễn thông,3,EE3015(KN),
EE3107,EE3107,Thông tin di động,3,EE3015(SH),
EE3111,EE3111,Mạng máy tính,3,EE3019(KN),
EE3117,EE3117,Thiết kế vi mạch số,3,EE1007(KN) EE2035(KN),
EE3121,EE3121,Thiết kế vi mạch tương tự và hỗn hợp,3,EE1007(KN) EE2035(KN),
EE3127,EE3127,Anten - truyền sóng vô tuyến,3,EE2003(KN),
EE3129,EE3129,Điện tử ứng dụng,3,EE2035(KN) EE2039(KN),
EE3167,EE3167,Thiết kế và phát triển ứng dụng IoT,3,EE3003(KN) EE3019(KN),
EE3169,EE3169,Máy học cơ bản và ứng dụng,3,EE2015(KN),
