id,code,name,credits,prerequisites,note
MT1011,MT1011,Giải tích 1,4,,
MT1015,MT1015,Đại số Tuyến tính,3,,
CH1003,CH1003,Hóa đại cương,3,,
MT1013,MT1013,Giải tích 2,4,,
PH1009,PH1009,Vật lý 1,4,,
MT2007,MT2007,Giải tích 3,3,,
MT2009,MT2009,Xác suất và Thống kê,4,,
PH2005,PH2005,Vật lý 2,4,,
PH2007,PH2007,Thí nghiệm Vật lý,1,,
MT2011,MT2011,Phương pháp tính,3,,
AS2049,AS2049,Cơ học Vật rắn và Sóng cơ,3,PH1009(HT),MT1015(HT)
LA1003,LA1003,Anh văn 1,2,,
LA1011,LA1011,Pháp văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1013,LA1013,Pháp văn 2,2,,
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1015,LA1015,Pháp văn 3,2,,
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
MA1001,MA1001,Nhập môn Về Kỹ thuật,3,,
EN1003,EN1003,Con người và Môi trường,3,,
IM1021,IM1021,Khởi nghiệp,3,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (học phần 1),0,,
PE1061,PE1061,Pickleball (học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
PE1059,PE1059,Bowling (học phần 2),0,,
PE1063,PE1063,Pickleball (học phần 2),0,,
EE2031,EE2031,Điện - Giải tích mạch,3,MT1013(KN),
CI1003,CI1003,Vẽ kỹ thuật,3,,
MA3111,MA3111,Vật lý Vật liệu,3,,
MA3113,MA3113,Hóa học Vật liệu,3,,
MA3141,MA3141,Kỹ thuật Phân tích Vật liệu,3,MA3113(HT),MA3111(HT)
MA3143,MA3143,Thực hành Phân tích Vật liệu,2,MA3113(HT),MA3111(HT)
MA3125,MA3125,Thực hành Vật liệu 1,2,,
MA4141,MA4141,Công nghệ Điện hóa,3,MA3113(HT),MA3111(HT)
MA4173,MA4173,Thiết kế Quy trình Sản xuất/Nhà Máy,3,,
MA4145,MA4145,Thực hành Điện hóa,2,MA4141(HT),
MA4175,MA4175,Thực hành Vật liệu 2,2,MA3125(HT),
MA2109,MA2109,Thực tập Công nhân,2,,
MA3385,MA3385,Thực tập Ngoài trường,2,,
MA3137,MA3137,Kỹ thuật Xúc tác,3,MA3113(HT),MA3111(HT)
MA3145,MA3145,Các nguồn Năng lượng Bền vững,3,,
MA3147,MA3147,Công nghệ Vật liệu Đại cương,3,,
MA3139,MA3139,Vật liệu Nano Cacbon,3,MA3113(HT),MA3111(HT)
MA3133,MA3133,Kỹ thuật sản xuất bán dẫn,3,MA3113(HT),MA3111(HT)
MA3135,MA3135,Công nghệ sản xuất và lắp đặt tấm quang điện,3,MA3113(HT),MA3111(HT)
MA4139,MA4139,Kỹ thuật Phân tích Hóa lý,3,MA3113(HT),
MA5023,MA5023,Pin: Từ Cổ điển đến Hiện đại,3,MA4141(HT),
MA5021,MA5021,Dự án Năng lượng,3,MA4173(HT),
MA5003,MA5003,Vật liệu Nano trong các Hệ năng lượng,3,,
MA3127,MA3127,Vật liệu Siêu dẫn,3,MA3113(HT),MA3111(HT)
MA3129,MA3129,Khoa học ăn mòn,3,MA4141(HT),MA3113(HT)
MA3131,MA3131,Vật liệu và mô phỏng số,3,MA3113(HT),MA3111(HT)
MA3137,MA3137,Kỹ thuật Xúc tác,3,MA3113(HT),MA3111(HT)
MA3145,MA3145,Các nguồn Năng lượng Bền vững,3,,
MA3147,MA3147,Công nghệ Vật liệu Đại cương,3,,
MA3139,MA3139,Vật liệu Nano Cacbon,3,MA3113(HT),MA3111(HT)
MA4385,MA4385,Thực tập Kỹ sư,2,,
MA5005,MA5005,Đồ án Chuyên ngành Vật liệu và Năng lượng,2,MA3385(TQ),
MA5017,MA5017,Luận văn Tốt nghiệp,9,MA5005(TQ),
SA4001,SA4001,Hoạt động sinh viên,0,,
