id,code,name,credits,prerequisites,note
MT1003,MT1003,Giải tích 1,4,,
MT1005,MT1005,Giải tích 2,4,MT1003(KN),
MT1007,MT1007,Đại số Tuyến tính,3,,
MT2013,MT2013,Xác suất và Thống kê,4,MT1007(KN),
PH1003,PH1003,Vật lý 1,4,,
PH1007,PH1007,Thí nghiệm Vật lý,1,,
CH1003,CH1003,Hóa đại cương,3,,
PH1005,PH1005,Vật lý 2,4,PH1003(KN),
MT1009,MT1009,Phương pháp tính,3,MT1003(KN),
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
AS1001,AS1001,Nhập môn Về kỹ thuật,3,,
EN1003,EN1003,Con người và Môi trường,3,,
IM1013,IM1013,Kinh tế học Đại cương,3,,
IM3001,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
IM1025,IM1025,Quản lý Dự án cho Kỹ sư,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
PH2003,PH2003,Tin học Vật lý Kỹ thuật,3,,
CI1003,CI1003,Vẽ kỹ thuật,3,,
AS2001,AS2001,Cơ học Ứng dụng,3,,
CI2003,CI2003,Cơ lưu chất,3,,
AS2033,AS2033,Cảm biến và Kỹ thuật Đo lường,3,EE2011(KN),
EE2011,EE2011,Kỹ thuật Điện - Điện tử,3,,
AS2009,AS2009,Cơ sở Cơ học Lượng tử - Vật lý chất rắn,3,,
AS2039,AS2039,Cơ sở vật lý Hạt nhân và Ứng dụng,3,PH1005(KN),
AS3025,AS3025,Quang học Kỹ thuật và Ứng dụng,3,PH1003(HT),
CH2027,CH2027,Sinh học Đại cương,3,,
PH2001,PH2001,Cơ sở Kỹ thuật Y sinh,3,,
AS2051,AS2051,Tính toán Khoa học,3,,
AS3069,AS3069,Thiết bị Chẩn đoán hình ảnh Y học,3,,
AS3057,AS3057,Trực quan hóa dữ liệu,3,,
AS3103,AS3103,Kỹ thuật Thiết bị Y học và Thí nghiệm,4,,
AS3109,AS3109,Cơ sở vật lý tính toán và mô phỏng vật lý,4,,
AS3105,AS3105,Cơ sở Y khoa,4,,
AS3107,AS3107,Kỹ thuật lập trình (vật lý tính toán),4,,
AS3045,AS3045,Ứng dụng Laser trong Y học,3,PH2003(HT),
AS3099,AS3099,Các phần mềm Tính toán Mô phỏng trong Vật lý,3,,
AS3047,AS3047,Cơ sở Vật liệu Sinh học,3,CH2027(HT),
AS3101,AS3101,Lập trình tính toán hiệu năng cao,3,,
AS3075,AS3075,Cơ sở về Laser và Ứng dụng,3,,
AS3177,AS3177,Giới thiệu ngôn ngữ lập trình Fortran,3,,
AS3055,AS3055,Xử lý hình ảnh Y sinh bằng Kỹ thuật số,3,PH2003(HT),
CO3061,CO3061,Nhập môn Trí tuệ Nhân tạo,3,,
AS3071,AS3071,Trường điện từ,3,PH1005(HT),
AS3073,AS3073,Vật lý thống kê,3,,
AS3191,AS3191,Cơ sở học máy,3,AS3179(KN),
AS3113,AS3113,Phân loại Kiểm định và Quản lý Trang thiết bị Y tế,3,AS3051(SHT),
AS3115,AS3115,Ứng dụng Vi xử lý trong Kỹ thuật Y sinh,3,,
AS3051,AS3051,Cơ sở Tin học Y sinh,3,,
AS3049,AS3049,Cơ sinh học,3,,
AS3089,AS3089,Thực tập Kỹ thuật,1,,
AS2045,AS2045,Đồ án Thiết kế cơ sở,1,,
AS3345,AS3345,Thực tập Ngoài trường,2,,
AS4005,AS4005,Đồ án Chuyên ngành,2,AS3345(SHT),
AS4347,AS4347,Đồ án Tốt nghiệp,4,AS3345(TQ) AS4005(TQ) AS2045(TQ) AS3089(TQ),X
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1015,PE1015,Bóng rổ,0,,
PE1017,PE1017,Cầu lông,0,,
PE1019,PE1019,Bơi,0,,
PE1021,PE1021,Aerobic,0,,
PE1025,PE1025,Điền kinh,0,,
PE1027,PE1027,Quần vợt,0,,
PE1053,PE1053,Cờ vua,0,,
PE1009,PE1009,Bóng đá,0,,
PE1011,PE1011,Bóng chuyền,0,,
PE1013,PE1013,Bóng bàn,0,,
PE1061,PE1061,Pickleball,0,,
PE1057,PE1057,Bowling,0,,
PE1033,PE1033,Bóng đá,0,,
PE1035,PE1035,Bóng chuyền,0,,
PE1037,PE1037,Bóng bàn,0,,
PE1039,PE1039,Bóng rổ,0,,
PE1041,PE1041,Cầu lông,0,,
PE1043,PE1043,Bơi,0,,
PE1045,PE1045,Aerobic,0,,
PE1049,PE1049,Điền kinh,0,,
PE1051,PE1051,Quần vợt,0,,
PE1055,PE1055,Cờ vua,0,,
PE1059,PE1059,Bowling,0,,
PE1063,PE1063,Pickleball,0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
