id,code,name,credits,prerequisites,note
MT1011,MT1011,Giải tích 1,4,,
MT1013,MT1013,Giải tích 2,4,,
MT1015,MT1015,Đại số Tuyến tính,3,,
MT2007,MT2007,Giải tích 3,3,,
MT2009,MT2009,Xác suất và Thống kê,4,,
MT2011,MT2011,Phương pháp tính,3,,
PH1009,PH1009,Vật lý 1,4,,
PH2005,PH2005,Vật lý 2,4,,
PH2007,PH2007,Thí nghiệm Vật lý,1,,
AS2047,AS2047,Vật lý sóng,3,,
CH1003,CH1003,Hóa đại cương,3,,
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
EE1001,EE1001,Nhập môn Về kỹ thuật,3,,
EN1003,EN1003,Con người và Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1011,LA1011,Pháp văn 1,2,,
LA1013,LA1013,Pháp văn 2,2,,
LA1015,LA1015,Pháp văn 3,2,,
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
CI1003,CI1003,Vẽ kỹ thuật,3,,
EE1009,EE1009,Kỹ thuật số,3,EE2031(KN) EE1007(KN),
EE2003,EE2003,Trường điện từ,3,MT1013(KN) MT1005(KN),
EE2009,EE2009,Hệ thống Máy tính và Ngôn ngữ Lập trình,3,MT2011(KN),
EE2031,EE2031,Điện - Giải tích mạch,3,MT1013(KN),
EE3189,EE3189,Điện tử học Tương tự và Ứng dụng,3,EE2031(TQ),
EE2109,EE2109,Thực tập Công nhân,2,EE2031(SHT),
EE4215,EE4215,Đồ án cơ sở ngành (VT),1,EE2039(TQ) EE3189(KN),
EE4089,EE4089,Thực tập điện,1,EE2031(KN),
EE2015,EE2015,Xử lý số Tín hiệu,3,EE2005(SHT),
EE2039,EE2039,Vi xử lý,3,EE1009(SHT),
EE2005,EE2005,Tín hiệu và Hệ thống,3,EE2031(KN) EE2033(KN),
EE4051,EE4051,Thiết kế Vi mạch (PBL),3,EE1009(TQ) EE3189(KN),
EE4053,EE4053,Thiết kế Hệ thống nhúng (PBL),3,EE2039(SHT),
EE3015,EE3015,Kỹ thuật Hệ thống Viễn Thông,3,EE2005(SHT),
EE3019,EE3019,Truyền số liệu và Mạng,3,EE2005(KN) EE1009(TQ),
EE5013,EE5013,Kỹ thuật Siêu cao tần (PBL),3,EE3189(TQ) EE2003(TQ),
EE5015,EE5015,Mạch điện tử Thông tin (PBL),3,EE3189(TQ),
EE5019,EE5019,Thông tin Di động (PBL),3,EE3015(TQ),
EE3385,EE3385,Thực tập Ngoài trường,2,EE1009(SHT) EE3189(KN) EE2039(KN),
EE4385,EE4385,Thực tập Kỹ sư,2,EE4215(SHT) EE3385(TQ),
EE5001,EE5001,Đồ án Chuyên ngành,2,EE4053(TQ) EE3015(TQ) EE4215(TQ) EE4385(SHT),
EE5017,EE5017,Luận văn Tốt nghiệp,9,EE4385(TQ) EE5001(TQ),
IM1021,IM1021,Khởi nghiệp,3,,
EE3031,EE3031,Lập trình Hệ thống nhúng,3,EE3003(KN),
EE3035,EE3035,Xử lý ảnh,3,EE2081(TQ) EE2009(TQ) EE2015(KN),
EE3043,EE3043,Cấu trúc Máy tính,3,EE1009(TQ) EE2039(KN),
EE3085,EE3085,Mạng viễn thông,3,EE3015(TQ),
EE3111,EE3111,Mạng máy tính,3,EE3019(SHT),
EE3117,EE3117,Thiết kế Vi mạch số,3,EE3201(KN) EE3165(KN) EE4051(KN) EE1009(TQ),
EE3121,EE3121,Thiết kế Vi mạch Tương tự và Hỗn hợp,3,EE3165(KN) EE4051(KN) EE2035(TQ),
EE3127,EE3127,Anten - Truyền sóng Vô tuyến,3,EE3025(KN) EE2003(TQ),
EE3129,EE3129,Điện tử Ứng dụng,3,EE2039(KN) EE2035(TQ),
EE3167,EE3167,Thiết kế và Phát triển Ứng dụng IoT,3,EE2039(TQ) EE3019(KN),
EE3169,EE3169,Máy học Cơ bản và Ứng dụng,3,EE2081(TQ) EE2009(TQ) EE2015(KN),
EE4067,EE4067,Thông tin số,3,EE2005(TQ) EE3015(HT),
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1049,PE1049,Điền kinh (học phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học phần 2),0,,
MI1003,MI1003,Giáo dục Quốc phòng,0,,
SA4001,SA4001,Hoạt động sinh viên,0,,
