id,code,name,credits,prerequisites,note
MT1011,MT1011,Giải tích 1,4,,
MT1015,MT1015,Đại số Tuyến tính,3,,
MT1013,MT1013,Giải tích 2,4,,
MT2007,MT2007,Giải tích 3,3,,
MT2009,MT2009,Xác suất và Thống kê,4,,
MT2011,MT2011,Phương pháp tính,3,,
CH1003,CH1003,Hóa đại cương,3,,
PH1009,PH1009,Vật lý 1,4,,
PH2005,PH2005,Vật lý 2,4,,
PH2007,PH2007,Thí nghiệm Vật lý,1,,
AS2049,AS2049,Cơ học Vật rắn và Sóng cơ,3,PH1009(HT) MT1015(HT) MT1011(HT),
SP1007,SP1007,Pháp luật Việt Nam Đại cương,2,,
SP1031,SP1031,Triết học Mác - Lênin,3,,
SP1033,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
SP1035,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
SP1039,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
SP1037,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
CI1001,CI1001,Nhập môn về kỹ thuật,3,,
CI3289,CI3289,Lãnh đạo và Khởi nghiệp,3,,
CI3291,CI3291,Lãnh đạo và Quản lý Dự án,3,,
CI3411,CI3411,Lãnh đạo và quản lý năng lượng,3,,
IM1031,IM1031,Khởi nghiệp và đổi mới sáng tạo,3,,
ME1019,ME1019,Quản lý năng suất và chất lượng,3,,
EN1003,EN1003,Con người và Môi trường,3,,
LA1003,LA1003,Anh văn 1,2,,
LA1005,LA1005,Anh văn 2,2,LA1003(TQ),
LA1007,LA1007,Anh văn 3,2,LA1005(TQ),
LA1009,LA1009,Anh văn 4,2,LA1007(TQ),
LA1011,LA1011,Pháp văn 1,2,,
LA1013,LA1013,Pháp văn 2,2,,
LA1015,LA1015,Pháp văn 3,2,,
LA1017,LA1017,Pháp văn 4,2,,
LA3021,LA3021,Pháp văn 5,2,,
LA3023,LA3023,Pháp văn 6,2,,
CI1007,CI1007,Trắc địa Đại cương,3,,
CI2003,CI2003,Cơ lưu chất,3,,
CI2007,CI2007,Sức bền Vật liệu,4,,
CI2037,CI2037,Vật liệu Xây dựng,3,,
CI2095,CI2095,Địa chất Công trình,3,,
CI2109,CI2109,Thực tập Công nhân,2,,
CI2155,CI2155,Thí nghiệm Vật lý Kiến trúc,1,,
CI2135,CI2135,Cơ kết cấu,3,CI2007(HT),
CI2137,CI2137,Cơ học đất,3,CI2095(HT),
CI2147,CI2147,Thí nghiệm công trình,1,CI2139(HT) CI2133(HT),
EE2031,EE2031,Điện - Giải tích mạch,3,MT1013(KN),
CI2139,CI2139,Kết cấu Bê tông Cốt thép,3,CI2135(SHT) CI2007(TQ),
CI2133,CI2133,Kết cấu thép,3,CI2007(HT),
CI2145,CI2145,Nền móng,3,CI2137(HT),
CI1033,CI1033,Kỹ thuật Xây dựng,3,,
CI2157,CI2157,Nhập môn BIM trong Xây dựng,3,,
CI5009,CI5009,Đồ án Nghiên cứu Khoa học và Phát triển,3,,
CI5031,CI5031,Chuyển nhiệt và Điều hòa Không khí trong Tòa nhà,3,,
CI5039,CI5039,Thiết kế hiệu quả năng lượng trong công trình,3,,
CI3025,CI3025,Thủy văn Công trình,3,,
CI3241,CI3241,Cấp thoát nước,3,CI2003(HT),
CI4201,CI4201,Hệ thống Cơ điện trong Tòa nhà,3,,
CI3243,CI3243,Kết cấu Công trình Bê tông Cốt thép,3,CI2139(HT),
CI4131,CI4131,Kết cấu Công trình thép,3,CI2133(HT),
CI5025,CI5025,Kỹ thuật thi công,3,,
CI5029,CI5029,Quản lý Chất lượng Thi công,3,,
CI5023,CI5023,Động lực học công trình,3,,
CI5015,CI5015,Công trình Xanh Không gian Âm thanh và Ánh sáng,3,,
CI5041,CI5041,Kiểm toán năng lượng công trình,3,,
CI2129,CI2129,Thực tập Ngoài trường,2,CI2109(TQ),
CI4385,CI4385,Thực tập Kỹ sư,2,CI3385(TQ),
CI5005,CI5005,Đồ án Chuyên ngành,2,CI3385(SHT),
CI5017,CI5017,Luận văn Tốt nghiệp,9,CI5005(TQ) CI4385(TQ) CI3385(TQ),
MI1003,MI1003,Giáo dục Quốc phòng,0,,
PE1009,PE1009,Bóng đá (Học phần 1),0,,
PE1011,PE1011,Bóng chuyền (Học phần 1),0,,
PE1013,PE1013,Bóng bàn (Học phần 1),0,,
PE1015,PE1015,Bóng rổ (Học phần 1),0,,
PE1017,PE1017,Cầu lông (Học phần 1),0,,
PE1019,PE1019,Bơi (học Phần 1),0,,
PE1021,PE1021,Aerobic (học Phần 1),0,,
PE1027,PE1027,Quần vợt (Học phần 1),0,,
PE1025,PE1025,Điền kinh (Học phần 1),0,,
PE1053,PE1053,Cờ vua (Học phần 1),0,,
PE1057,PE1057,Bowling (Học phần 1),0,,
PE1061,PE1061,Pickleball (Học phần 1),0,,
PE1033,PE1033,Bóng đá (Học phần 2),0,,
PE1035,PE1035,Bóng chuyền (Học phần 2),0,,
PE1037,PE1037,Bóng bàn (Học phần 2),0,,
PE1039,PE1039,Bóng rổ (Học phần 2),0,,
PE1041,PE1041,Cầu lông (Học phần 2),0,,
PE1043,PE1043,Bơi (học Phần 2),0,,
PE1045,PE1045,Aerobic (học Phần 2),0,,
PE1049,PE1049,Điền kinh (học Phần 2),0,,
PE1051,PE1051,Quần vợt (Học phần 2),0,,
PE1055,PE1055,Cờ vua (học Phần 2),0,,
PE1059,PE1059,Bowling (học Phần 2),0,,
PE1063,PE1063,Pickleball (học Phần 2),0,,
